S,Analytic,MC,BNT,MC-A,BNT-A
80,0.0422801,0.0423751,0.0420409,9.49304e-05,-0.000239279,
81,0.0602797,0.0600303,0.059945,-0.000249363,-0.000334634,
82,0.0845009,0.0839344,0.0840281,-0.000566427,-0.000472794,
83,0.11655,0.115631,0.115899,-0.000919024,-0.000650921,
84,0.158275,0.157407,0.157418,-0.000868246,-0.000856871,
85,0.211762,0.211418,0.210695,-0.000344317,-0.00106781,
86,0.279313,0.277035,0.278062,-0.00227758,-0.00125048,
87,0.363415,0.361132,0.362051,-0.0022828,-0.00136358,
88,0.466701,0.466993,0.465338,0.000292195,-0.00136261,
89,0.591894,0.591337,0.590687,-0.000557071,-0.00120705,
90,0.741748,0.739998,0.740879,-0.00174987,-0.000869273,
91,0.918982,0.91831,0.918638,-0.000672444,-0.000344212,
92,1.12621,1.12559,1.12655,-0.000621423,0.000341569,
93,1.36586,1.36382,1.36698,-0.0020369,0.00112303,
94,1.64014,1.63699,1.64203,-0.00314574,0.00189355,
95,1.95093,1.95215,1.95344,0.00121678,0.00250683,
96,2.2998,2.3076,2.30258,0.00780711,0.00278439,
97,2.68788,2.68573,2.69041,-0.00215316,0.00252872,
98,3.11594,3.11481,3.11748,-0.00113282,0.00154109,
99,3.5843,3.58552,3.58394,0.00121946,-0.000357708,
100,4.09287,4.0909,4.08956,-0.00196875,-0.00330584,
101,4.64113,4.64374,4.64096,0.00260296,-0.000175978,
102,5.22823,5.22346,5.23024,-0.00477261,0.0020084,
103,5.85295,5.84678,5.85596,-0.00616497,0.00301122,
104,6.51376,6.51518,6.51644,0.00142869,0.00268615,
105,7.2089,7.20375,7.20989,-0.00514673,0.000990826,
106,7.9364,7.93898,7.9344,0.00257847,-0.00200935,
107,8.69417,8.69053,8.69363,-0.0036456,-0.00054752,
108,9.48,9.47769,9.48148,-0.00231473,0.00147562,
109,10.2916,10.2962,10.2934,0.00458957,0.00175789,
110,11.1268,11.1237,11.1273,-0.00308387,0.000521939,
111,11.9833,11.9809,11.9814,-0.00240022,-0.00192577,
112,12.8591,12.8559,12.8586,-0.003155,-0.000426978,
113,13.7519,13.7519,13.7526,1.00713e-05,0.000740454,
114,14.6599,14.6583,14.6603,-0.00163192,0.000389834,
115,15.5813,15.5802,15.5802,-0.00109235,-0.00105293,
116,16.5144,16.5101,16.5135,-0.00428094,-0.000882468,
117,17.4576,17.4558,17.4577,-0.00184188,0.000119798,
118,18.4097,18.4122,18.4096,0.00258768,-8.42805e-05,
119,19.3692,19.3701,19.3682,0.000834992,-0.00105515,
120,20.3353,20.3367,20.3347,0.00142588,-0.000524531,
