S,Analytic,MC,BNT,MC-A,BNT-A
80,19.7441,19.744,19.7439,-5.00046e-05,-0.000239279,
81,18.7646,18.7647,18.7642,0.000147476,-0.000334634,
82,17.7913,17.7916,17.7908,0.000261648,-0.000472794,
83,16.8258,16.8259,16.8252,9.94989e-05,-0.000650921,
84,15.87,15.8697,15.8692,-0.000302782,-0.000856871,
85,14.926,14.9265,14.925,0.000428217,-0.00106781,
86,13.9961,13.9954,13.9948,-0.000662292,-0.00125048,
87,13.0827,13.0827,13.0813,7.31042e-05,-0.00136358,
88,12.1884,12.1882,12.1871,-0.000253101,-0.00136261,
89,11.3161,11.3156,11.3149,-0.000503407,-0.00120705,
90,10.4685,10.4681,10.4676,-0.0003245,-0.000869273,
91,9.64819,9.64926,9.64784,0.00107315,-0.000344212,
92,8.8579,8.85627,8.85824,-0.00163359,0.000341569,
93,8.10005,8.09746,8.10117,-0.00258654,0.00112303,
94,7.37681,7.37523,7.37871,-0.00158302,0.00189355,
95,6.6901,6.68611,6.69261,-0.0039892,0.00250683,
96,6.04145,6.04062,6.04424,-0.000835596,0.00278439,
97,5.43203,5.4358,5.43456,0.00377222,0.00252872,
98,4.86258,4.86241,4.86412,-0.000171787,0.00154109,
99,4.33343,4.33019,4.33307,-0.00323535,-0.000357708,
100,3.84448,3.84284,3.84117,-0.00164109,-0.00330584,
101,3.39524,3.39421,3.39506,-0.0010288,-0.000175978,
102,2.98483,2.98146,2.98684,-0.00337375,0.0020084,
103,2.61203,2.61643,2.61504,0.00440073,0.00301122,
104,2.27533,2.27394,2.27802,-0.00138987,0.00268615,
105,1.97296,1.97333,1.97395,0.000366247,0.000990826,
106,1.70296,1.69948,1.70095,-0.00347905,-0.00200935,
107,1.46322,1.46072,1.46267,-0.00249711,-0.00054752,
108,1.25154,1.25175,1.25301,0.000211024,0.00147562,
109,1.06566,1.06622,1.06742,0.000559383,0.00175789,
110,0.903339,0.903832,0.903861,0.000493349,0.000521939,
111,0.762351,0.760696,0.760425,-0.00165487,-0.00192577,
112,0.640547,0.638705,0.64012,-0.00184196,-0.000426978,
113,0.535868,0.536456,0.536609,0.000587367,0.000740454,
114,0.446374,0.44577,0.446764,-0.000603904,0.000389834,
115,0.37025,0.368765,0.369197,-0.00148506,-0.00105293,
116,0.305825,0.305391,0.304942,-0.000434237,-0.000882468,
117,0.251568,0.251689,0.251688,0.000120805,0.000119798,
118,0.206096,0.205994,0.206011,-0.000102069,-8.42805e-05,
119,0.168167,0.168207,0.167112,4.04328e-05,-0.00105515,
120,0.136677,0.13656,0.136153,-0.000117003,-0.000524531,
